Food_Item,Moisture_Content,Acidity,Starch_Content,Sugar_Content,Ash_Content,Density,Conductivity,label
Honey,8.452383113796907,1.3488651772479585,24.434054477668074,2.2550198660370846,4.850405123049307,1.316250873676824,1.0430958696823491,0
Sugar,4.085643071452335,0.9835940763961679,8.455643243201997,34.588895050202126,4.340984916880504,1.116552558622865,1.2340014129420895,0
Juice,17.535861665760685,1.2127358249583078,3.5449448286496876,32.516040365203104,4.103653147651472,0.9572233760579874,0.7350633925522255,1
Cheese,13.219366282896043,0.8036919303472689,20.902114960924518,39.98870693144522,1.3637238525202053,1.1167076612928855,1.5647331871170618,0
Chili Powder,7.956164447347685,0.9076654384769027,18.86828540339652,39.86547348295622,0.9373491782113226,0.89859991426586,0.3025366809541664,0
Tea,3.1440503051484257,0.7895247713464094,26.32416040581159,22.217268224105098,3.3763517776297123,0.9234708905543564,0.24276178529803666,0
Juice,7.59768179088192,0.37334018291726223,22.052131314116572,30.75949660722042,4.65394234672517,1.1488574409176358,1.4835586367868463,1
Salt,7.853299796481447,1.1114329613661076,24.104427911545457,37.79062919529712,2.8281381757682564,1.0932478146531834,1.041433500791777,0
Honey,15.132911210085153,0.49308130741719813,8.461037177139195,33.98589562709646,2.9009021784025095,1.4403921307476701,1.4079645532126985,1
Turmeric,13.476034484393836,0.13404235300403539,5.323186313391685,9.893924069727905,1.4718975589353926,1.0536757293816432,0.9261719433471177,0
Wheat,17.96982936637388,1.003661214270035,22.51844254922575,18.02176541240374,3.870515372640491,1.2064118451946304,0.5681638631543029,0
Honey,10.499868652915087,0.3479549511698685,24.20504217801792,5.166376606059799,1.0165143679318647,1.2425850015436712,1.6562944035809795,0
Chili Powder,4.152696426889431,1.41664201809408,29.7151542600202,38.16204109034889,1.6860282583807942,0.8091661196118336,1.6188901700410605,1
Chili Powder,14.83840617001391,1.4355000078036224,12.378530307342794,24.246985378035202,2.1846385492204425,1.2644761604116974,1.4199232946234108,0
Tea,15.694130875104154,1.380810146308628,11.160542573783495,9.14571222013851,2.58729085555383,0.924625176808826,0.617075760736929,1
Salt,12.102989556250932,0.6182221803576221,23.292388822259905,26.86802737623427,1.2878076888338934,1.4727492222286185,1.2214382670512656,0
Sugar,15.877409239182098,0.1216392631404144,10.224106207590536,24.725129618315833,0.6627004412220974,0.9040639094271791,0.7858504041860509,0
Tea,10.888320734559034,1.3996459876228156,27.92271976810694,14.326508721313619,3.092038207964,1.0902368866089167,0.2740059393206049,1
Tea,11.409190928875892,0.69945780764424,25.752382555290353,4.542303687985161,1.5142897108772535,0.8597447676550507,1.8428957933782613,1
Wheat,9.695738330453892,1.4533167466611374,12.869820821250551,26.862927823711985,2.9480672849708003,1.4978119762921631,0.35995539874602667,1
Oil,2.457544281393713,1.449067967924954,22.526132033744922,20.812308036151734,0.8563773048435913,1.15153650723187,1.9054509722595245,1
Salt,3.94204568587948,1.294213237654304,22.63628622254047,30.892735669425573,2.457586499088606,1.2167695121240307,0.9474109686201159,1
Rice,2.5657253423612163,0.5122284488974199,3.0937160650779783,20.806540044479735,2.709688219502771,0.8469535341718992,0.45175256479337733,1
Tea,13.455387402748046,0.6391368200426953,27.076587200387,34.0872600127416,0.3539353304298919,1.3249723292794244,1.1296118000188806,1
Pepper,7.65840765937388,1.2915913401235997,15.157571173435715,22.076273550979423,1.749360963150211,0.9469339151669101,1.7585970881651758,1
Butter,11.15427244096465,0.5436908072187887,24.793723983232248,22.43751886141545,0.7586319170009738,1.4286380026084995,1.4912272841781662,1
Oil,18.336196530669675,0.33728984536052947,9.601488030918352,35.0661441063338,0.410537355316562,0.9435977483374051,1.6324661809367544,1
Rice,6.487260124679749,0.8795217674416902,26.865696854886014,16.139314648495883,4.950805138710732,0.9334814044645666,1.351688396750363,1
Pepper,9.386892614641335,1.4106166838250933,11.676050362024894,5.360609138025629,1.6795338403761428,0.8255847674936665,1.4153254725839197,0
Salt,15.599920493774876,1.0744417153449621,0.3251295444089508,1.151307052533559,4.068384784687711,1.1304468615769996,1.7134717379741067,1
Milk,6.118366978849204,0.8980856381251109,27.16145929257791,30.20549022694476,1.347739208342443,1.1953887932838314,0.5743692168324532,1
Pepper,3.3856383769182736,0.23604709127907594,2.7386003035840067,24.812382054138588,3.4393633388972535,0.8459960475998467,1.029907430921967,0
Turmeric,7.215526152447825,0.9610101173788376,9.579409127712445,28.163190723968942,3.8251165134594647,1.3428693316865075,0.5202979394572442,1
Oil,4.9019831705720796,1.4860753901459687,28.501859011524147,8.518566460356428,3.0186298289784372,1.1173021843236193,1.9765692151936294,0
Juice,18.734557742166317,0.2961176213311336,28.51821440812668,5.4548590234707905,2.4107233238957764,1.167073188529306,1.8937127454045652,0
Pepper,16.546166832159507,0.8256615133092313,17.203136643698585,0.5817866267152771,2.118020479321616,1.1085339228567597,0.1749109416001612,1
Coffee,13.401267617187623,1.3283223006991376,18.95511636509398,14.023502352263879,1.8094545060606773,1.0805341426127282,1.4405928277798081,0
Milk,17.68629062337892,1.1370760648558862,13.453365659349593,23.596707474185322,4.654692806814347,1.1917482319157524,1.8579718030897652,1
Chili Powder,16.46609738418406,1.0758220373933751,8.796323150941936,15.689761803989292,4.170035098159873,0.9086681721514988,0.44309315574193375,1
Chili Powder,5.358261059948645,1.083477717581953,9.859936361097478,17.498996880949164,4.828631862265912,0.9273496913466899,1.1790959380499961,0
Cheese,18.0660619728196,0.6032876117076572,20.175553682311154,36.166347779749934,0.7090563950791692,1.403249934709462,1.8394277654172795,0
Turmeric,11.708160354481713,0.5110285819702907,22.5712358831304,13.930218680932015,3.6812506284978572,1.462280823493543,0.1644973593130178,0
Pepper,16.533922792953128,1.233105617669919,23.747371311775456,20.559579566392433,4.697868238423085,1.061316521395827,1.425098507768996,1
Pepper,18.12964339862288,1.234158752550853,23.688544283836617,31.346120509645722,0.9880420242117348,0.9895212712004877,0.6649631140078464,1
Cheese,7.724062549493549,1.313901246012145,2.736183091460711,15.861711292850806,0.42583171009720977,1.2507996802673111,1.8563527712154078,1
Butter,3.9809346414981817,1.37853677357906,14.832609141077445,24.88346800911494,3.7314911815212897,1.0861139197686676,1.9450106658141988,0
Butter,6.10283292575495,0.8158793584053129,1.7267628004993285,34.49454834986981,2.9149182545815684,0.8177704489622415,1.8941063293155245,1
Cheese,9.687940195272613,0.8021228125620794,16.485866469712064,37.98082494630569,4.224961006115533,0.9093068181563333,1.0010070116491812,0
Butter,16.724265786604875,1.2176132505534851,13.245915041201311,5.8829392371615175,0.7848846454688185,1.3011805601931783,1.7378810368796955,1
Wheat,17.49315049861418,1.0099495030888712,26.631125482748992,37.06350500645978,3.9968098281134625,1.261246759337106,1.7046438572166338,0
Pepper,2.125138349561433,1.0827536281607846,10.52745037656236,19.684651723181528,1.0879738682339484,0.8189671947524385,0.7062908991621857,1
Honey,11.193451446396184,1.2141097372105414,3.5120104928281757,10.329775531958333,0.9019141200419521,0.9553805133530646,1.674939400886287,0
